order_id,date,region,category,revenue_usd,customer_age,is_returning
1001,2023-01-01,NA,Home,471.15,32.0,True
1002,2023-01-02,LATAM,Toys,545.23,43.0,False
1003,2023-01-03,APAC,Home,494.79,27.0,False
1004,2023-01-04,EMEA,Electronics,324.7,33.0,False
1005,2023-01-05,NA,Toys,671.42,30.0,False
1006,2023-01-06,NA,Electronics,612.79,36.0,False
1007,2023-01-07,NA,Toys,618.65,58.0,False
1008,2023-01-08,APAC,Toys,363.59,16.0,True
1009,2023-01-09,EMEA,Clothing,710.42,42.0,False
1010,2023-01-10,APAC,Electronics,289.72,19.0,True
1011,2023-01-11,NA,Home,588.03,,False
1012,2023-01-12,LATAM,Home,828.57,,False
1013,2023-01-13,APAC,Electronics,351.42,,False
1014,2023-01-14,NA,Home,415.06,,False
1015,2023-01-15,NA,Home,514.95,,False
1016,2023-01-16,NA,Electronics,424.48,,False
1017,2023-01-17,NA,Toys,267.4,28.0,True
1018,2023-01-18,EMEA,Electronics,510.28,37.0,False
1019,2023-01-19,EMEA,Toys,340.65,35.0,False
1020,2023-01-20,NA,Home,571.04,28.0,False
1021,2023-01-21,EMEA,Home,362.09,56.0,False
1022,2023-01-22,NA,Home,732.49,41.0,False
1023,2023-01-23,NA,Clothing,382.51,15.0,True
1024,2023-01-24,NA,Toys,451.69,37.0,False
1025,2023-01-25,EMEA,Clothing,622.03,28.0,True
1026,2023-01-26,APAC,Clothing,9999.99,44.0,False
1027,2023-01-27,NA,Electronics,534.12,27.0,False
1028,2023-01-28,EMEA,Clothing,696.07,34.0,False
1029,2023-01-29,EMEA,Electronics,258.88,40.0,False
1030,2023-01-30,NA,Electronics,527.7,44.0,True
1031,2023-01-31,EMEA,Clothing,538.98,23.0,True
1032,2023-02-01,NA,Toys,617.27,32.0,False
1033,2023-02-02,NA,Toys,314.46,30.0,False
1034,2023-02-03,LATAM,Toys,301.93,28.0,True
1035,2023-02-04,LATAM,Toys,578.29,53.0,True
1036,2023-02-05,APAC,Toys,544.55,39.0,False
1037,2023-02-06,NA,Clothing,537.57,22.0,True
1038,2023-02-07,NA,Clothing,551.97,44.0,False
1039,2023-02-08,EMEA,Home,398.0,56.0,False
1040,2023-02-09,EMEA,Toys,534.84,45.0,True
1041,2023-02-10,NA,Clothing,543.96,20.0,True
1042,2023-02-11,EMEA,Home,392.85,30.0,False
1043,2023-02-12,NA,Toys,779.87,48.0,False
1044,2023-02-13,LATAM,Electronics,571.07,28.0,False
1045,2023-02-14,NA,Home,321.3,39.0,False
1046,2023-02-15,EMEA,Clothing,,43.0,False
1047,2023-02-16,NA,Electronics,,26.0,False
1048,2023-02-17,EMEA,Electronics,,34.0,False
1049,2023-02-18,EMEA,Electronics,,3.0,False
1050,2023-02-19,NA,Home,376.9,25.0,True
1051,2023-02-20,LATAM,Clothing,644.51,32.0,False
1052,2023-02-21,APAC,Electronics,561.92,23.0,False
1053,2023-02-22,LATAM,Toys,623.31,51.0,False
1054,2023-02-23,APAC,Electronics,784.52,21.0,False
1055,2023-02-24,EMEA,Electronics,463.19,31.0,True
1056,2023-02-25,LATAM,Home,386.94,36.0,False
1057,2023-02-26,NA,Home,366.57,49.0,True
1058,2023-02-27,NA,Clothing,377.63,21.0,False
1059,2023-02-28,NA,Toys,488.43,47.0,True
1060,2023-03-01,NA,Home,551.17,35.0,True
1061,2023-03-02,NA,Electronics,541.5,25.0,True
1062,2023-03-03,NA,Clothing,624.08,40.0,False
1063,2023-03-04,APAC,Electronics,501.95,37.0,False
1064,2023-03-05,NA,Electronics,718.03,29.0,False
1065,2023-03-06,NA,Home,460.3,36.0,False
1066,2023-03-07,EMEA,Clothing,908.03,31.0,False
1067,2023-03-08,NA,Toys,593.85,36.0,True
1068,2023-03-09,APAC,Toys,371.43,42.0,False
1069,2023-03-10,NA,Home,339.37,51.0,True
1070,2023-03-11,LATAM,Home,572.37,23.0,False
1071,2023-03-12,APAC,Clothing,-500.0,56.0,True
1072,2023-03-13,NA,Toys,607.1,15.0,False
1073,2023-03-14,NA,Toys,570.99,33.0,True
1074,2023-03-15,APAC,Toys,489.08,41.0,False
1075,2023-03-16,APAC,Electronics,372.98,38.0,False
1076,2023-03-17,APAC,Toys,272.77,29.0,False
1077,2023-03-18,APAC,Electronics,433.02,33.0,True
1078,2023-03-19,NA,Clothing,628.46,30.0,False
1079,2023-03-20,NA,Electronics,532.11,29.0,False
1080,2023-03-21,NA,Clothing,313.14,43.0,False
1081,2023-03-22,APAC,Toys,525.98,39.0,False
1082,2023-03-23,EMEA,Toys,557.8,28.0,False
1083,2023-03-24,NA,Clothing,367.42,44.0,False
1084,2023-03-25,NA,Home,523.06,38.0,False
1085,2023-03-26,NA,Clothing,508.73,43.0,False
1086,2023-03-27,NA,Home,328.55,41.0,False
1087,2023-03-28,APAC,Electronics,553.67,27.0,True
1088,2023-03-29,EMEA,Electronics,584.12,29.0,True
1089,2023-03-30,APAC,Electronics,662.46,42.0,False
1090,2023-03-31,EMEA,Toys,658.07,41.0,False
1091,2023-04-01,NA,Electronics,293.35,35.0,False
1092,2023-04-02,APAC,Home,359.33,36.0,False
1093,2023-04-03,APAC,Electronics,577.26,48.0,True
1094,2023-04-04,EMEA,Clothing,577.07,29.0,True
1095,2023-04-05,APAC,Clothing,577.26,40.0,False
1096,2023-04-06,EMEA,Toys,1077.91,33.0,False
1097,2023-04-07,EMEA,Clothing,585.63,33.0,False
1098,2023-04-08,EMEA,Home,670.33,46.0,True
1099,2023-04-09,NA,Electronics,643.1,43.0,False
1100,2023-04-10,NA,Toys,597.71,43.0,False
1006,2023-01-06,NA,Electronics,612.79,36.0,False
